origin,destination,departure_date,price
DBV,ZAD,2025-08-01,67.9
DBV,HEL,2025-08-01,167.99
DBV,YXU,2025-08-01,941.0
DBV,PRG,2025-08-01,154.99
DBV,MUC,2025-08-01,118.97
DBV,BUD,2025-08-01,140.99
DBV,LIS,2025-08-01,172.8
DBV,BLA,2025-08-01,787.0
DBV,POZ,2025-08-01,162.0
DBV,CPH,2025-08-01,82.7
DBV,BML,2025-08-01,82.7
LJU,INI,2025-08-01,90.6
LJU,AAH,2025-08-01,90.6
LJU,LUZ,2025-08-01,183.99
LJU,TSR,2025-08-01,152.0
LJU,CBP,2025-08-01,152.0
LJU,VAR,2025-08-01,165.0
LJU,TLL,2025-08-01,107.99
LJU,LCJ,2025-08-01,331.04
LJU,TBS,2025-08-01,167.99
LJU,VNO,2025-08-01,100.99
LJU,DBV,2025-08-01,215.0
LJU,SPU,2025-08-01,197.99
LJU,OPO,2025-08-01,102.0
LJU,MMI,2025-08-01,102.0
LJU,ZAD,2025-08-01,167.99
LJU,HEL,2025-08-01,122.9
LJU,YXU,2025-08-01,487.99
LJU,PRG,2025-08-01,95.97
LJU,MUC,2025-08-01,101.97
LJU,BUD,2025-08-01,106.0
LJU,LIS,2025-08-01,99.0
LJU,BLA,2025-08-01,544.0
LJU,WMI,2025-08-01,360.92
LJU,POZ,2025-08-01,103.99
LJU,CPH,2025-08-01,93.72
LJU,BML,2025-08-01,93.72
SPU,INI,2025-08-01,159.0
SPU,AAH,2025-08-01,159.0
SPU,LUZ,2025-08-01,220.99
SPU,TSR,2025-08-01,170.0
SPU,CBP,2025-08-01,170.0
SPU,VAR,2025-08-01,226.0
SPU,TLL,2025-08-01,178.0
SPU,LCJ,2025-08-01,373.99
SPU,TBS,2025-08-01,178.0
SPU,VNO,2025-08-01,164.99
SPU,DBV,2025-08-01,58.4
SPU,LJU,2025-08-01,198.0
SPU,OPO,2025-08-01,155.0
SPU,MMI,2025-08-01,155.0
SPU,ZAD,2025-08-01,74.99
SPU,HEL,2025-08-01,162.99
SPU,YXU,2025-08-01,758.99
SPU,PRG,2025-08-01,128.99
SPU,MUC,2025-08-01,121.9
SPU,BUD,2025-08-01,137.99
SPU,LIS,2025-08-01,156.99
SPU,BLA,2025-08-01,578.0
SPU,WMI,2025-08-01,477.86
SPU,POZ,2025-08-01,155.99
SPU,CPH,2025-08-01,77.6
SPU,BML,2025-08-01,77.6
OPO,INI,2025-08-01,132.74
OPO,AAH,2025-08-01,132.74
OPO,LUZ,2025-08-01,139.0
OPO,TSR,2025-08-01,135.0
OPO,CBP,2025-08-01,135.0
OPO,VAR,2025-08-01,144.11
OPO,TLL,2025-08-01,133.99
OPO,LCJ,2025-08-01,233.99
OPO,TBS,2025-08-01,184.9
OPO,VNO,2025-08-01,116.99
OPO,DBV,2025-08-01,170.99
OPO,LJU,2025-08-01,102.99
OPO,SPU,2025-08-01,149.0
OPO,MMI,2025-08-01,149.0
OPO,ZAD,2025-08-01,216.0
OPO,HEL,2025-08-01,92.99
OPO,YXU,2025-08-01,554.99
OPO,PRG,2025-08-01,73.44
OPO,MUC,2025-08-01,59.99
OPO,BUD,2025-08-01,75.99
OPO,LIS,2025-08-01,29.9
OPO,BLA,2025-08-01,384.0
OPO,WMI,2025-08-01,131.19
OPO,POZ,2025-08-01,108.0
OPO,CPH,2025-08-01,52.99
OPO,BML,2025-08-01,52.99
MMI,BOJ,2025-08-01,52.99
MMI,INI,2025-08-01,52.99
MMI,AAH,2025-08-01,52.99
MMI,RJK,2025-08-01,52.99
MMI,QND,2025-08-01,52.99
MMI,LUZ,2025-08-01,52.99
MMI,TSR,2025-08-01,52.99
MMI,CBP,2025-08-01,52.99
MMI,VAR,2025-08-01,52.99
MMI,TLL,2025-08-01,52.99
MMI,LCJ,2025-08-01,52.99
MMI,TBS,2025-08-01,52.99
MMI,VNO,2025-08-01,52.99
MMI,DBV,2025-08-01,52.99
MMI,LJU,2025-08-01,52.99
MMI,SPU,2025-08-01,52.99
MMI,OPO,2025-08-01,52.99
MMI,ZAD,2025-08-01,52.99
MMI,HEL,2025-08-01,52.99
MMI,YXU,2025-08-01,52.99
MMI,VLN,2025-08-01,52.99
MMI,PRG,2025-08-01,52.99
MMI,MUC,2025-08-01,52.99
MMI,BUD,2025-08-01,52.99
MMI,LIS,2025-08-01,52.99
MMI,BLA,2025-08-01,52.99
MMI,WMI,2025-08-01,52.99
MMI,POZ,2025-08-01,52.99
MMI,CPH,2025-08-01,52.99
MMI,BML,2025-08-01,52.99
ZAD,INI,2025-08-01,265.9
ZAD,AAH,2025-08-01,265.9
ZAD,TSR,2025-08-01,165.0
ZAD,CBP,2025-08-01,165.0
ZAD,VAR,2025-08-01,322.99
ZAD,TLL,2025-08-01,173.0
ZAD,TBS,2025-08-01,257.99
ZAD,VNO,2025-08-01,162.99
ZAD,DBV,2025-08-01,58.4
ZAD,LJU,2025-08-01,167.0
ZAD,SPU,2025-08-01,72.99
ZAD,OPO,2025-08-01,284.9
ZAD,MMI,2025-08-01,284.9
ZAD,HEL,2025-08-01,187.0
ZAD,PRG,2025-08-01,140.99
ZAD,MUC,2025-08-01,114.9
ZAD,BUD,2025-08-01,175.99
ZAD,LIS,2025-08-01,218.0
ZAD,POZ,2025-08-01,164.99
ZAD,CPH,2025-08-01,89.7
ZAD,BML,2025-08-01,89.7
HEL,INI,2025-08-01,156.0
HEL,AAH,2025-08-01,156.0
HEL,LUZ,2025-08-01,129.99
HEL,TSR,2025-08-01,118.99
HEL,CBP,2025-08-01,118.99
HEL,VAR,2025-08-01,178.99
HEL,TLL,2025-08-01,87.9
HEL,LCJ,2025-08-01,295.89
HEL,TBS,2025-08-01,178.99
HEL,VNO,2025-08-01,71.51
HEL,DBV,2025-08-01,191.19
HEL,LJU,2025-08-01,86.83
HEL,SPU,2025-08-01,201.99
HEL,OPO,2025-08-01,141.0
HEL,MMI,2025-08-01,141.0
HEL,ZAD,2025-08-01,215.99
HEL,YXU,2025-08-01,696.99
HEL,PRG,2025-08-01,65.99
HEL,MUC,2025-08-01,89.9
HEL,BUD,2025-08-01,111.99
HEL,LIS,2025-08-01,128.0
HEL,BLA,2025-08-01,494.0
HEL,WMI,2025-08-01,325.19
HEL,POZ,2025-08-01,169.99
HEL,CPH,2025-08-01,50.99
HEL,BML,2025-08-01,50.99
YXU,INI,2025-08-01,1368.99
YXU,AAH,2025-08-01,1368.99
YXU,LUZ,2025-08-01,890.5
YXU,TSR,2025-08-01,805.0
YXU,CBP,2025-08-01,805.0
YXU,VAR,2025-08-01,962.99
YXU,TLL,2025-08-01,780.0
YXU,LCJ,2025-08-01,1036.73
YXU,TBS,2025-08-01,823.99
YXU,VNO,2025-08-01,774.99
YXU,DBV,2025-08-01,849.99
YXU,LJU,2025-08-01,829.0
YXU,SPU,2025-08-01,807.0
YXU,OPO,2025-08-01,646.99
YXU,MMI,2025-08-01,646.99
YXU,ZAD,2025-08-01,886.62
YXU,HEL,2025-08-01,711.1
YXU,PRG,2025-08-01,730.27
YXU,MUC,2025-08-01,727.6
YXU,BUD,2025-08-01,709.99
YXU,LIS,2025-08-01,608.9
YXU,POZ,2025-08-01,733.0
YXU,CPH,2025-08-01,625.9
YXU,BML,2025-08-01,625.9
PRG,INI,2025-08-01,127.9
PRG,AAH,2025-08-01,127.9
PRG,LUZ,2025-08-01,90.99
PRG,TSR,2025-08-01,129.99
PRG,CBP,2025-08-01,129.99
PRG,VAR,2025-08-01,189.0
PRG,TLL,2025-08-01,87.68
PRG,LCJ,2025-08-01,231.99
PRG,TBS,2025-08-01,151.99
PRG,VNO,2025-08-01,98.75
PRG,DBV,2025-08-01,133.5
PRG,LJU,2025-08-01,64.0
PRG,SPU,2025-08-01,143.0
PRG,OPO,2025-08-01,99.51
PRG,MMI,2025-08-01,99.51
PRG,ZAD,2025-08-01,175.99
PRG,HEL,2025-08-01,71.99
PRG,YXU,2025-08-01,613.1
PRG,MUC,2025-08-01,83.97
PRG,BUD,2025-08-01,94.99
PRG,LIS,2025-08-01,106.6
PRG,BLA,2025-08-01,433.0
PRG,WMI,2025-08-01,125.99
PRG,POZ,2025-08-01,86.9
PRG,CPH,2025-08-01,32.99
PRG,BML,2025-08-01,32.99
MUC,INI,2025-08-01,161.7
MUC,AAH,2025-08-01,161.7
MUC,LUZ,2025-08-01,148.0
MUC,TSR,2025-08-01,123.99
MUC,CBP,2025-08-01,123.99
MUC,VAR,2025-08-01,209.0
MUC,TLL,2025-08-01,119.19
MUC,LCJ,2025-08-01,281.86
MUC,TBS,2025-08-01,132.99
MUC,VNO,2025-08-01,115.97
MUC,DBV,2025-08-01,104.9
MUC,LJU,2025-08-01,158.99
MUC,SPU,2025-08-01,106.9
MUC,OPO,2025-08-01,133.99
MUC,MMI,2025-08-01,133.99
MUC,ZAD,2025-08-01,101.9
MUC,HEL,2025-08-01,124.29
MUC,YXU,2025-08-01,711.9
MUC,PRG,2025-08-01,105.9
MUC,BUD,2025-08-01,115.97
MUC,LIS,2025-08-01,140.04
MUC,BLA,2025-08-01,472.0
MUC,WMI,2025-08-01,211.8
MUC,POZ,2025-08-01,105.9
MUC,CPH,2025-08-01,100.99
MUC,BML,2025-08-01,100.99
